content,username,level,stars,likes,time
刚体验了zmd，开服前我很期待这个游戏，但玩下来感觉问题太多了，完全不尽人意的平庸至极不能说不是一种罪过。我说几个我主观感受到的有问题的点（仅个人体验 观点与纯主观感受） 1.首先UI有问题，尤其是角色界面UI，乱而且不明确不直观，我甚至要特意去想一下或者都点一遍才能找到我需要的功能。 2.建模我说真的只能说是引擎在发力，模型我看着完全像是传统mmd那种风格品质 纯是被渲染的结果，很难说是精良。表情也很生硬不够生动，我找个haku跳舞的mmd表情和zmd的剧情里的表情都能不相上下。这点强力建议学习鸣潮（当然也可能是我鸣潮玩太多要求太高了）。 3.剧情更是一般，又短又平演出又一般，不塞点谜语和设定放别的游戏只配当支线。同样是二游开服的第一个大BOSS，看看崩铁当时的卡点放野火BGM，以及鸣潮和忌炎打大姐的演出。再看看zmd打那个胖子，我等级拉30随便两下数值***了，完全没有任何战斗互动或者有什么震撼战斗演出... 4.所谓战斗系统基本拼的就是数值，等级高10级乱杀 低10级开刮，没有鸣潮那种1级也能靠操作挡返杀90级红名BOSS的可能。战斗手感也是一坨，重击绑死连击最后一下打的很难受，角色战斗基本上站着A就行了条够了按下技能没啥操作性，我也想不出跳跃键和跳跃攻击战斗里能有什么用。 5.我二游类似的之前玩过原崩鸣，所以zmd这种箱庭不箱庭开放不开放世界的地图玩法玩的特别别扭。就崩铁的箱庭 你是明确知道哪里能走哪里不能走的，原神那种开放世界则是哪里都能爬，鸣潮更是神中神级别的大世界机动。zmd这我想往旁边探索一下要么撞空气墙要么是上不去真的难受，我从来没有感受过这种小坡都能产生的这般的绝望。 6.地图也特别一般，造景完全不够，你像原的地图很多设计感很强、感官体验很出色。鸣潮的地图设计很多美/雄伟到能直接截图当壁纸堪称艺术品。而zmd的地图，我体验的感觉是完全没什么景，没有能让我驻足观赏的亮点。 7.地图说大不大，说小其实真的感觉有点小了，大部分地方tp传送点跑两步就到了，真要把地图做大点滑索才有更多意义吧才能体现独特的机动。 8.大世界生态完全不行，能看出一点点前辈们的影子（掉肉的野狼和会俯卧撑的人形小怪），但是完全不行也不够。我想看像鸣潮那样丰富的野怪生态，有那种怪物之间有各种有趣的行为互动，而不是就被放在那等我杀。或者野外能有些友军NPC的巡逻，或者友好据点能自带有一些帮你打小怪的炮台（当然我知道玩家也可以建造）。而“野生的炮台”与之类的其他玩家的放的共享留言之类的设计我感觉很突兀，真的很莫名其妙。 9.你既然特点是基建与工业化了，就要突出工业化的优势，他要省事，要能有成就感，要有足够的对游戏地图产生影响的可能。要能让玩家感觉到“我的工程设计帮我省了不少事甚至偷懒逃课”的正反馈，而zmd现在的基建体验完全不行，甚至感觉像是纯粹的多余和麻烦。 10.说个好的，我很欣赏队伍队友能同时大世界在场这个设计。我早在原神刚出那会我就想过要是有能全队在场打协同该多好，后来鸣潮实现了一半（靠合轴能合出三个人同时打BOSS的感觉），到了zmd终于是真的全队一起在场了。 11.但是，队伍的互动性完全不够。基本上就是干活的时候反复播放那几句固定的语音。队里没有足够的生活气，我想听到不同配队下角色间有趣的互动，以及更多的某些角色会对某些地方进行评价，甚至是会对一些剧情事件进行吐槽。我希望能看到闲的没事的时候队友能对世界去互动，哪怕是找个地方歇歇/看个花（参考老滚5的队友待机行为）。需要让队伍更有活气，这也可以作为一项与众不同的卖点的。 总结：太一般了，而且是所有项都低于理想水准的一般，特色的基建玩法也一言难尽。真的除了未来可期没啥好的话能说的了不过我还是很喜欢很看好这个IP的，不然也不会说这么多。鸣潮开服的时候比这更拉，后续是不断的听取建议不断精进与优化才到达现在的位置。最后给个五星鼓励一下吧，希望鹰角继续加油继续好好打磨和丰富这个作品。即使现况如此这般，我依旧相信zmd未来可期。,戼喇叭猫戼,6,5,2180,2026-01-23 10:27:11
第一章肝完，限定池子就抽了一发，会不会给的太多了 以下为更新评价 现在玩了一个月，我觉得玩终末地最享受的就是群友骂你，亲友不理解你，你想要证明终末地是好的大猫哥无罪，结果进去急赤白脸被猫哥小巧思一顿恶心回群里面吐槽又被骂笑死我了玩终末地的啥比的过程,Ag无餍,6,5,7,2026-03-02 13:47:44
开箱子采集打怪真上瘾啊，停不下来，根本停不下来，幸好b服云玩很流畅，不像4399给我卡死了，b服的号不欧不非的这个程度刚刚好，立马化身仓鼠球我屯屯屯！以后遇到合xp的角色再抽，刚开始玩基建是有点头秃，不过上手也蛮快的，啊啊啊云玩两个小时根本不够用，弄弄基建刷一下理智做做日常没就啦！ 许愿三月底不歪不保底汤汤！！！,白菏迩,6,5,1,2026-03-02 15:02:06
把我气笑了   死熊猫爆率高  新手池出的六星还是小羊 限定还是羊  普池还是羊  三羊开局  开局比别人少一个六星 我玩尼玛  注销得了  看其他人晒卡而我却硬吃武器和角色大保底那一刻心就麻木了，或许这个游戏我不配玩  哈哈哈哈哈哈哈哈哈哈哈  骂都懒得骂了  再见,御用吐槽神,6,5,8,2026-02-26 01:34:27
虽然声音优化有点问题，但是你送的六星很好的弥补了这一点,卡布达2028,6,5,0,2026-03-02 07:47:05
抛开美术不谈那是在耍流氓，带上美术那是带上眼镜耍流氓 海猫小时候玩地下城每套装备都四等一，长大了他把概率巧妙的融入进了武库，但他还是太善良了，给我们这些憨态可掬的玩家还留了个保底，只要你角色大保底那你就有资源武库大保底，不像我两个90抽没资源抽第二个武库大保底自己补了40衍质源石，早知道这么好玩我还不如去买个3 up带专武的号才两张一铂，话说开服就能3up带专武两张一铂难道也是海猫在发力？海猫，你这家伙🤡,失忆之雨,6,5,0,2026-03-02 13:31:35
好玩，不要被网上节奏带偏了挺不错的游戏,荧之歌,6,5,1,2026-03-01 23:34:30
【可玩性】  【可玩性】,五立新,6,5,0,2026-03-02 17:08:47
剧情演出: 非常有特色的叙事直接拉满沉浸感，主线剧情环环相扣且世界观设定极具深度，人物塑造有血有肉，每个角色都拥有完整且鲜活的成长弧光，搭配歌剧演员级别的配音和沉浸式音效，过场演出宛如看高质量番剧，情绪共鸣感直接拉满 动作设计: 动作模组打磨得堪称极致，不同角色的攻击、闪避、技能释放都有鲜明的风格区分，普攻衔接技能丝滑无卡顿，闪避等操作的判定精准且反馈感十足，大招释放的动态演出兼具视觉冲击力和操作爽感，就连角色的待机小动作都贴合人设，跑跳、互动的肢体表现自然流畅，完全没有僵硬的割裂感 角色建模: 堪称二次元建模的天花板水准，二次元风格独特，角色的毛发、布料、皮革等材质的质感还原度拉满，角色身上的物理反馈细腻逼真，立绘与建模完美还原无落差，面部微表情、肢体细节刻画入微，细节控直接一本满足 画质优化: 画面质感堪称顶级水准，场景的光影渲染、色彩搭配极具美感，建筑、植被的细节纹理清晰且贴合世界观设定，同时优化做得超良心，高画质下无论是旗舰机还是中端机都能流畅运行，无掉帧、无卡顿、无贴图加载延迟，哪怕是多人同屏的战斗场景，特效拉满也能保持稳定帧率，画质和流畅度做到了极致平衡 战斗系统: 策略性与操作爽感双在线，摒弃了无脑数值碾压的设计，角色搭配、技能衔接、站位规划都直接影响战局走向，多人小队同屏作战的机制让配合感拉满，技能连携的效果炸裂，同时还设计了趣味解密玩法，既满足了硬核玩家的操作需求，也让休闲玩家能体验到战斗的乐趣，零氪、微氪玩家也能打出亮眼操作 基建玩法: 基建系统并非简单的“家园盆栽”，而是与战斗、角色养成深度绑定的核心玩法，自由度拉满的建造规划让玩家能亲手打造专属基地，流水线式的资源生产实现了自动化养成，还支持蓝图复刻一键搭建，既满足了硬核玩家的规划欲，能研究出高效的资源循环体系，也让轻度玩家能轻松上手，不用耗费大量时间也能享受基建的成就感，看着基地从简陋小屋发展成繁华工业体系，满足感直接爆棚 美术与音效: 整体美术风格统一且极具辨识度，场景设计兼具美学性和功能性，从场景的时代还原到角色的服饰纹路，每一处细节都透着制作组的用心，搭配贴合世界观的BGM，战斗中的技能音效、环境中的背景音效层层递进，音效都打磨到位，视觉和听觉的双重享受直接拉满 养成与运营: 养成体系清晰且无压力，资源获取途径丰富，不存在逼氪逼肝的情况，装备、养成材料无随机属性，每一份投入都有明确回报，零氪、微氪玩家靠日常和活动也能轻松养成心仪角色，卡池保底机制良心，福利发放大方，开发团队还会积极听取玩家建议优化游戏，运营诚意直接拉满,月神居然太短了,6,5,1,2026-02-24 18:27:02
"不知道玩了几十小时，反正第一次在二游玩得这么投入。剧情过完了，基建亲手搭建完了，地图也全收集，洁哥也抽到了 缺点有吧，但是我不是很在乎而且无伤大雅，我说说优点，如果能戳中你，那可以试试看 1. 地图设计：你敢信在二游里能看到精致的箱庭地图，多层复式结构，恰到好处的捷径，探索都有奖励。我是注重探索感的玩家，俗称舔图流，这游戏的地图探索让我找到了一些宫崎英高游戏的感觉（达不到那么高，但也很棒了） 2. 工厂流水钱：如果你玩过异星工厂、幸福工厂或者戴森球，这游戏会很好上手。它的减法做得很好，把单机里那种“造芯片”，简化成了有限空间内寻找最优化的产线布局，降低了游玩压力，但依然保留了一定深度，而且能看出以后能加的东西很多，会越来越好玩，如果你只玩过死亡搁浅，我会说流水线这块完全不是死亡搁浅，它很好玩，越玩越上头，这是我最喜欢的部分 3. 滑索：我把流水线拆出去，因为滑索这块像死亡搁浅，拉电线没有那么烦，反而拉电线和滑索能让我按M，看着地图思索，怎么拉最优化，怎么样在送货和资源点上找到最小公约数，这个过程也很有意思，它不是锄大地，它有乐趣，看着你拉出来的滑索规划，有一种征服地图的快感 4. 画面和战斗：我很讨厌二游把战斗做的过于复杂，看都看球不懂，只能去抄作业。终末地的战斗系统刚好在我的舒适区，队伍组好后玩起来也很爽 5. 抽卡福利：其实我是单机游戏玩家，对于抽卡资源啥的不是特别在乎，该氪我也氪，大小月卡都搞起了，开服福利体感不少，加上月卡目前总共也有up池的230抽左右（已经用了120抽来抽洁哥，还剩56000玉约110抽，留给以后的庄方宜），同时还有普池的130多抽  最后来说说缺点： 1. 剧情：四号谷底就是教学关卡，非常无聊，无聊到开服第一天玩了5,6个小时后我就卸游了，后来朋友说这游戏地图设计不错，隔了10多天下载回来，直接玩的停不下来到现在长草。武陵的故事其实还可以，但算不上优秀。尤其是长草期尝试了绝区零，我感觉绝区零1.0的故事就讲得非常好，有意思，经常过剧情时候还能让我笑出来。终末地在剧情、故事、文本方面是超级超级大短板，短到能把一桶水漏干净的那种。我这么喜欢终末地，过剧情时候经常骂骂咧咧的什么煞笔编剧，这写的什么玩意 2. 持续游玩内容：现在的持续游玩内容=没有，不过也正常，一般好的持续游玩内容都是更新一段时间才加入的 3. 生活质量：有很多生活质量方面的东西做的不太好，但是2月初的公告里也说了很多会改，会优化玩家体验，希望能尽快上线  总之，这游戏长板和短板都非常明显，希望你能试一试，如果能戳中你，相信能陪伴你很久",淡季的芒果,6,5,2,2026-02-23 16:13:26
